,Unnamed: 0,date_implement,policy,metric_change,state
433,19,2020-04-04,H6_Facial Coverings,1.0,Louisiana
434,20,2020-12-14,H7_Vaccination policy,1.0,Louisiana
435,0,2020-03-12,C1_School closing,2.0,Massachusetts
436,1,2020-03-23,C1_School closing,1.0,Massachusetts
437,2,2020-09-16,C1_School closing,-1.0,Massachusetts
438,3,2020-03-12,C2_Workplace closing,1.0,Massachusetts
439,4,2020-03-24,C2_Workplace closing,2.0,Massachusetts
440,5,2020-06-01,C2_Workplace closing,-1.0,Massachusetts
441,6,2020-03-13,C3_Cancel public events,2.0,Massachusetts
442,7,2020-07-06,C3_Cancel public events,-1.0,Massachusetts
443,8,2020-12-13,C3_Cancel public events,1.0,Massachusetts
444,9,2020-03-13,C4_Restrictions on gatherings,2.0,Massachusetts
445,10,2020-03-17,C4_Restrictions on gatherings,1.0,Massachusetts
446,11,2020-05-18,C4_Restrictions on gatherings,-1.0,Massachusetts
447,12,2020-03-27,C5_Close public transport,1.0,Massachusetts
448,13,2020-01-26,C6_Stay at home requirements,1.0,Massachusetts
449,14,2020-03-16,C7_Restrictions on internal movement,1.0,Massachusetts
450,15,2020-03-02,C8_International travel controls,3.0,Massachusetts
451,16,2020-03-04,H1_Public information campaigns,1.0,Massachusetts
452,17,2020-01-21,H2_Testing policy,1.0,Massachusetts
453,18,2020-09-18,H2_Testing policy,-1.0,Massachusetts
454,19,2020-01-21,H3_Contact tracing,1.0,Massachusetts
455,20,2020-04-04,H6_Facial Coverings,1.0,Massachusetts
456,21,2020-12-14,H7_Vaccination policy,2.0,Massachusetts
457,0,2020-03-13,C1_School closing,1.0,Maryland
458,1,2020-08-31,C1_School closing,-1.0,Maryland
459,2,2020-03-12,C2_Workplace closing,1.0,Maryland
460,3,2020-06-15,C2_Workplace closing,-1.0,Maryland
461,4,2020-03-12,C3_Cancel public events,2.0,Maryland
462,5,2020-03-12,C4_Restrictions on gatherings,2.0,Maryland
463,6,2020-03-16,C4_Restrictions on gatherings,1.0,Maryland
464,7,2020-06-29,C4_Restrictions on gatherings,-1.0,Maryland
465,8,2020-03-18,C5_Close public transport,1.0,Maryland
466,9,2020-06-08,C5_Close public transport,-1.0,Maryland
467,10,2020-03-30,C6_Stay at home requirements,2.0,Maryland
468,11,2020-06-01,C6_Stay at home requirements,-1.0,Maryland
469,12,2020-03-16,C7_Restrictions on internal movement,1.0,Maryland
470,13,2020-06-01,C7_Restrictions on internal movement,-1.0,Maryland
471,14,2020-03-02,C8_International travel controls,3.0,Maryland
472,15,2020-03-02,H1_Public information campaigns,1.0,Maryland
473,16,2020-01-21,H2_Testing policy,1.0,Maryland
474,17,2020-03-02,H2_Testing policy,-1.0,Maryland
475,18,2020-05-29,H2_Testing policy,2.0,Maryland
476,19,2020-01-21,H3_Contact tracing,1.0,Maryland
477,20,2020-04-04,H6_Facial Coverings,1.0,Maryland
478,21,2020-12-14,H7_Vaccination policy,1.0,Maryland
479,0,2020-03-13,C1_School closing,1.0,Maine
480,1,2020-08-30,C1_School closing,-1.0,Maine
481,2,2020-03-12,C2_Workplace closing,1.0,Maine
482,3,2020-03-25,C2_Workplace closing,2.0,Maine
483,4,2020-05-01,C2_Workplace closing,-1.0,Maine
484,5,2020-03-12,C3_Cancel public events,1.0,Maine
485,6,2020-10-13,C3_Cancel public events,-1.0,Maine
486,7,2020-03-15,C4_Restrictions on gatherings,4.0,Maine
487,8,2020-05-31,C4_Restrictions on gatherings,-1.0,Maine
488,9,2020-03-25,C5_Close public transport,2.0,Maine
489,10,2020-09-01,C5_Close public transport,-1.0,Maine
490,11,2020-03-25,C6_Stay at home requirements,2.0,Maine
491,12,2020-05-31,C6_Stay at home requirements,-1.0,Maine
492,13,2020-03-16,C7_Restrictions on internal movement,1.0,Maine
493,14,2020-03-02,C8_International travel controls,3.0,Maine
494,15,2020-02-10,H1_Public information campaigns,1.0,Maine
495,16,2020-01-21,H2_Testing policy,1.0,Maine
496,17,2020-10-29,H2_Testing policy,-1.0,Maine
497,18,2020-01-21,H3_Contact tracing,1.0,Maine
498,19,2020-04-04,H6_Facial Coverings,1.0,Maine
499,20,2020-12-15,H7_Vaccination policy,1.0,Maine
500,0,2020-03-13,C1_School closing,1.0,Michigan
501,1,2020-03-16,C1_School closing,2.0,Michigan
502,2,2020-08-31,C1_School closing,-1.0,Michigan
503,3,2020-03-12,C2_Workplace closing,1.0,Michigan
504,4,2020-04-24,C2_Workplace closing,-1.0,Michigan
505,5,2020-03-11,C3_Cancel public events,1.0,Michigan
506,6,2020-06-05,C3_Cancel public events,-1.0,Michigan
507,7,2020-03-13,C4_Restrictions on gatherings,2.0,Michigan
508,8,2020-03-17,C4_Restrictions on gatherings,1.0,Michigan
509,9,2020-06-05,C4_Restrictions on gatherings,-1.0,Michigan
510,10,2020-03-17,C5_Close public transport,1.0,Michigan
511,11,2020-03-11,C6_Stay at home requirements,1.0,Michigan
512,12,2020-05-21,C6_Stay at home requirements,-1.0,Michigan
513,13,2020-03-16,C7_Restrictions on internal movement,1.0,Michigan
514,14,2020-06-01,C7_Restrictions on internal movement,-1.0,Michigan
515,15,2020-01-28,C8_International travel controls,1.0,Michigan
516,16,2020-03-02,C8_International travel controls,2.0,Michigan
517,17,2020-01-24,H1_Public information campaigns,1.0,Michigan
518,18,2020-01-21,H2_Testing policy,1.0,Michigan
519,19,2020-01-21,H3_Contact tracing,1.0,Michigan
520,20,2020-03-10,H6_Facial Coverings,1.0,Michigan
521,21,2020-07-17,H6_Facial Coverings,2.0,Michigan
522,22,2020-12-14,H7_Vaccination policy,2.0,Michigan
523,0,2020-03-13,C1_School closing,1.0,Minnesota
524,1,2020-03-18,C1_School closing,2.0,Minnesota
525,2,2020-09-14,C1_School closing,-1.0,Minnesota
526,3,2020-03-12,C2_Workplace closing,1.0,Minnesota
527,4,2020-05-04,C2_Workplace closing,-1.0,Minnesota
528,5,2020-03-13,C3_Cancel public events,1.0,Minnesota
529,6,2020-09-21,C3_Cancel public events,-1.0,Minnesota
530,7,2020-03-13,C4_Restrictions on gatherings,2.0,Minnesota
531,8,2020-06-10,C4_Restrictions on gatherings,-1.0,Minnesota
532,9,2020-11-20,C4_Restrictions on gatherings,1.0,Minnesota
533,10,2020-11-20,C5_Close public transport,1.0,Minnesota
534,11,2020-03-13,C6_Stay at home requirements,1.0,Minnesota
535,12,2020-05-18,C6_Stay at home requirements,-1.0,Minnesota
536,13,2020-03-13,C7_Restrictions on internal movement,1.0,Minnesota
537,14,2020-04-08,C7_Restrictions on internal movement,-1.0,Minnesota
538,15,2020-01-29,C8_International travel controls,1.0,Minnesota
539,16,2020-03-02,C8_International travel controls,2.0,Minnesota
540,17,2020-01-24,H1_Public information campaigns,1.0,Minnesota
541,18,2020-01-20,H2_Testing policy,1.0,Minnesota
542,19,2020-01-21,H3_Contact tracing,1.0,Minnesota
543,20,2020-04-04,H6_Facial Coverings,1.0,Minnesota
544,21,2020-12-15,H7_Vaccination policy,2.0,Minnesota
545,0,2020-03-13,C1_School closing,1.0,Missouri
546,1,2020-03-17,C1_School closing,2.0,Missouri
547,2,2020-08-24,C1_School closing,-1.0,Missouri
548,3,2020-03-12,C2_Workplace closing,1.0,Missouri
549,4,2020-04-06,C2_Workplace closing,2.0,Missouri
550,5,2020-05-04,C2_Workplace closing,-1.0,Missouri
551,6,2020-03-13,C3_Cancel public events,2.0,Missouri
552,7,2020-06-22,C3_Cancel public events,-1.0,Missouri
553,8,2020-07-23,C3_Cancel public events,1.0,Missouri
554,9,2020-03-13,C4_Restrictions on gatherings,2.0,Missouri
555,10,2020-03-15,C4_Restrictions on gatherings,1.0,Missouri
556,11,2020-06-29,C4_Restrictions on gatherings,-4.0,Missouri
557,12,2020-07-31,C4_Restrictions on gatherings,3.0,Missouri
558,13,2020-12-08,C4_Restrictions on gatherings,-1.0,Missouri
559,14,2020-03-23,C6_Stay at home requirements,2.0,Missouri
560,15,2020-05-19,C6_Stay at home requirements,-1.0,Missouri
561,16,2020-11-17,C6_Stay at home requirements,1.0,Missouri
562,17,2020-03-16,C7_Restrictions on internal movement,1.0,Missouri
563,18,2020-03-02,C8_International travel controls,3.0,Missouri
564,19,2020-01-22,H1_Public information campaigns,1.0,Missouri
565,20,2020-01-21,H2_Testing policy,1.0,Missouri
566,21,2020-03-02,H2_Testing policy,-1.0,Missouri
567,22,2020-01-21,H3_Contact tracing,1.0,Missouri
568,23,2020-04-04,H6_Facial Coverings,1.0,Missouri
569,24,2020-07-01,H6_Facial Coverings,2.0,Missouri
570,25,2020-12-22,H7_Vaccination policy,2.0,Missouri
571,26,2020-12-30,H7_Vaccination policy,1.0,Missouri
572,0,2020-03-13,C1_School closing,1.0,Mississippi
573,1,2020-03-19,C1_School closing,2.0,Mississippi
574,2,2020-08-24,C1_School closing,-1.0,Mississippi
575,3,2020-03-12,C2_Workplace closing,1.0,Mississippi
576,4,2020-06-01,C2_Workplace closing,-1.0,Mississippi
577,5,2020-03-15,C3_Cancel public events,1.0,Mississippi
578,6,2020-06-01,C3_Cancel public events,-1.0,Mississippi
579,7,2020-04-03,C4_Restrictions on gatherings,4.0,Mississippi
580,8,2020-06-01,C4_Restrictions on gatherings,-1.0,Mississippi
581,9,2020-07-10,C4_Restrictions on gatherings,1.0,Mississippi
582,10,2020-03-11,C5_Close public transport,1.0,Mississippi
583,11,2020-07-16,C5_Close public transport,-1.0,Mississippi
584,12,2020-04-03,C6_Stay at home requirements,2.0,Mississippi
585,13,2020-06-01,C6_Stay at home requirements,-1.0,Mississippi
586,14,2020-03-16,C7_Restrictions on internal movement,1.0,Mississippi
587,15,2020-03-02,C8_International travel controls,3.0,Mississippi
588,16,2020-03-11,H1_Public information campaigns,2.0,Mississippi
589,17,2020-01-21,H2_Testing policy,1.0,Mississippi
590,18,2020-03-02,H2_Testing policy,-1.0,Mississippi
591,19,2020-01-21,H3_Contact tracing,1.0,Mississippi
592,20,2020-09-30,H3_Contact tracing,-1.0,Mississippi
593,21,2020-04-04,H6_Facial Coverings,1.0,Mississippi
594,22,2020-06-04,H6_Facial Coverings,2.0,Mississippi
595,23,2020-12-14,H7_Vaccination policy,1.0,Mississippi
596,0,2020-03-13,C1_School closing,1.0,Montana
597,1,2020-08-17,C1_School closing,-1.0,Montana
598,2,2020-03-12,C2_Workplace closing,1.0,Montana
599,3,2020-04-27,C2_Workplace closing,-1.0,Montana
600,4,2020-03-15,C3_Cancel public events,1.0,Montana
601,5,2020-06-01,C3_Cancel public events,-1.0,Montana
602,6,2020-03-15,C4_Restrictions on gatherings,3.0,Montana
603,7,2020-03-24,C4_Restrictions on gatherings,1.0,Montana
604,8,2020-06-01,C4_Restrictions on gatherings,-1.0,Montana
605,9,2020-03-16,C5_Close public transport,1.0,Montana
606,10,2020-09-11,C5_Close public transport,-1.0,Montana
607,11,2020-03-27,C6_Stay at home requirements,2.0,Montana
608,12,2020-11-23,C6_Stay at home requirements,-1.0,Montana
609,13,2020-12-03,C6_Stay at home requirements,1.0,Montana
610,14,2020-03-16,C7_Restrictions on internal movement,1.0,Montana
611,15,2020-03-02,C8_International travel controls,3.0,Montana
612,16,2020-02-25,H1_Public information campaigns,2.0,Montana
613,17,2020-01-21,H2_Testing policy,1.0,Montana
614,18,2020-07-23,H2_Testing policy,-1.0,Montana
615,19,2020-01-21,H3_Contact tracing,1.0,Montana
616,20,2020-10-23,H3_Contact tracing,-1.0,Montana
617,21,2020-04-04,H6_Facial Coverings,1.0,Montana
618,22,2020-06-26,H6_Facial Coverings,2.0,Montana
619,23,2020-12-14,H7_Vaccination policy,1.0,Montana
620,0,2020-03-13,C1_School closing,1.0,North Carolina
621,1,2020-08-10,C1_School closing,-1.0,North Carolina
622,2,2020-03-10,C2_Workplace closing,1.0,North Carolina
623,3,2020-04-30,C2_Workplace closing,-1.0,North Carolina
624,4,2020-03-10,C3_Cancel public events,1.0,North Carolina
625,5,2020-05-22,C3_Cancel public events,-1.0,North Carolina
626,6,2020-03-16,C4_Restrictions on gatherings,2.0,North Carolina
627,7,2020-03-25,C4_Restrictions on gatherings,1.0,North Carolina
628,8,2020-12-05,C4_Restrictions on gatherings,-1.0,North Carolina
629,9,2020-03-16,C5_Close public transport,1.0,North Carolina
630,10,2020-03-10,C6_Stay at home requirements,1.0,North Carolina
631,11,2020-05-08,C6_Stay at home requirements,-1.0,North Carolina
632,12,2020-03-16,C7_Restrictions on internal movement,1.0,North Carolina
633,13,2020-05-15,C7_Restrictions on internal movement,-1.0,North Carolina
634,14,2020-03-02,C8_International travel controls,3.0,North Carolina
635,15,2020-03-11,H1_Public information campaigns,2.0,North Carolina
636,16,2020-01-21,H2_Testing policy,1.0,North Carolina
637,17,2020-03-02,H2_Testing policy,-1.0,North Carolina
638,18,2020-01-21,H3_Contact tracing,1.0,North Carolina
639,19,2020-04-04,H6_Facial Coverings,1.0,North Carolina
640,20,2020-04-20,H6_Facial Coverings,2.0,North Carolina
641,21,2020-12-15,H7_Vaccination policy,1.0,North Carolina
642,0,2020-03-13,C1_School closing,1.0,North Dakota
643,1,2020-08-24,C1_School closing,-1.0,North Dakota
644,2,2020-03-12,C2_Workplace closing,1.0,North Dakota
645,3,2020-05-01,C2_Workplace closing,-1.0,North Dakota
646,4,2020-03-12,C3_Cancel public events,1.0,North Dakota
647,5,2020-11-16,C3_Cancel public events,-1.0,North Dakota
648,6,2020-09-30,C4_Restrictions on gatherings,2.0,North Dakota
649,7,2020-03-20,C5_Close public transport,1.0,North Dakota
650,8,2020-05-11,C5_Close public transport,-1.0,North Dakota
651,9,2020-04-03,C6_Stay at home requirements,1.0,North Dakota
652,10,2020-03-16,C7_Restrictions on internal movement,1.0,North Dakota
653,11,2020-05-08,C7_Restrictions on internal movement,-1.0,North Dakota
654,12,2020-03-02,C8_International travel controls,3.0,North Dakota
655,13,2020-01-29,H1_Public information campaigns,1.0,North Dakota
656,14,2020-01-21,H2_Testing policy,1.0,North Dakota
657,15,2020-03-02,H2_Testing policy,-1.0,North Dakota
658,16,2020-01-21,H3_Contact tracing,1.0,North Dakota
659,17,2020-10-22,H3_Contact tracing,-1.0,North Dakota
660,18,2020-04-04,H6_Facial Coverings,1.0,North Dakota
661,19,2020-10-19,H6_Facial Coverings,2.0,North Dakota
662,20,2020-12-14,H6_Facial Coverings,-1.0,North Dakota
663,21,2020-12-14,H7_Vaccination policy,2.0,North Dakota
664,0,2020-03-13,C1_School closing,1.0,Nebraska
665,1,2020-08-24,C1_School closing,-1.0,Nebraska
666,2,2020-03-12,C2_Workplace closing,1.0,Nebraska
667,3,2020-06-22,C2_Workplace closing,-1.0,Nebraska
668,4,2020-03-13,C3_Cancel public events,1.0,Nebraska
669,5,2020-09-21,C3_Cancel public events,-1.0,Nebraska
670,6,2020-03-19,C4_Restrictions on gatherings,4.0,Nebraska
671,7,2020-06-22,C4_Restrictions on gatherings,-1.0,Nebraska
672,8,2020-07-06,C4_Restrictions on gatherings,-2.0,Nebraska
673,9,2020-11-11,C4_Restrictions on gatherings,3.0,Nebraska
674,10,2020-03-17,C5_Close public transport,1.0,Nebraska
675,11,2020-04-03,C6_Stay at home requirements,1.0,Nebraska
676,12,2020-12-16,C6_Stay at home requirements,-1.0,Nebraska
677,13,2020-03-16,C7_Restrictions on internal movement,1.0,Nebraska
678,14,2020-03-02,C8_International travel controls,3.0,Nebraska
679,15,2020-01-27,H1_Public information campaigns,1.0,Nebraska
680,16,2020-01-21,H2_Testing policy,1.0,Nebraska
681,17,2020-10-02,H2_Testing policy,-1.0,Nebraska
682,18,2020-01-21,H3_Contact tracing,1.0,Nebraska
683,19,2020-04-04,H6_Facial Coverings,1.0,Nebraska
684,20,2020-12-28,H7_Vaccination policy,1.0,Nebraska
685,0,2020-03-13,C1_School closing,1.0,New Hampshire
686,1,2020-08-22,C1_School closing,-1.0,New Hampshire
687,2,2020-03-12,C2_Workplace closing,1.0,New Hampshire
688,3,2020-03-28,C2_Workplace closing,2.0,New Hampshire
689,4,2020-05-11,C2_Workplace closing,-1.0,New Hampshire
690,5,2020-03-15,C3_Cancel public events,1.0,New Hampshire
691,6,2020-06-16,C3_Cancel public events,-1.0,New Hampshire
692,7,2020-03-17,C4_Restrictions on gatherings,3.0,New Hampshire
693,8,2020-03-23,C4_Restrictions on gatherings,1.0,New Hampshire
694,9,2020-06-16,C4_Restrictions on gatherings,-4.0,New Hampshire
695,10,2020-04-01,C5_Close public transport,2.0,New Hampshire
696,11,2020-06-08,C5_Close public transport,-1.0,New Hampshire
697,12,2020-03-27,C6_Stay at home requirements,2.0,New Hampshire
698,13,2020-06-16,C6_Stay at home requirements,-1.0,New Hampshire
699,14,2020-03-16,C7_Restrictions on internal movement,1.0,New Hampshire
700,15,2020-03-02,C8_International travel controls,3.0,New Hampshire
701,16,2020-01-30,H1_Public information campaigns,1.0,New Hampshire
702,17,2020-01-21,H2_Testing policy,1.0,New Hampshire
703,18,2020-03-02,H2_Testing policy,-1.0,New Hampshire
704,19,2020-01-21,H3_Contact tracing,1.0,New Hampshire
705,20,2020-11-12,H3_Contact tracing,-1.0,New Hampshire
706,21,2020-04-04,H6_Facial Coverings,1.0,New Hampshire
707,22,2020-12-15,H7_Vaccination policy,1.0,New Hampshire
708,0,2020-03-13,C1_School closing,1.0,New Jersey
709,1,2020-03-18,C1_School closing,2.0,New Jersey
710,2,2020-09-08,C1_School closing,-1.0,New Jersey
711,3,2020-03-12,C2_Workplace closing,1.0,New Jersey
712,4,2020-05-18,C2_Workplace closing,-1.0,New Jersey
713,5,2020-03-12,C3_Cancel public events,1.0,New Jersey
714,6,2020-06-09,C3_Cancel public events,-1.0,New Jersey
715,7,2020-03-16,C4_Restrictions on gatherings,3.0,New Jersey
716,8,2020-03-21,C4_Restrictions on gatherings,1.0,New Jersey
717,9,2020-06-22,C4_Restrictions on gatherings,-1.0,New Jersey
718,10,2020-04-13,C5_Close public transport,1.0,New Jersey
719,11,2020-07-17,C5_Close public transport,-1.0,New Jersey
720,12,2020-03-21,C6_Stay at home requirements,2.0,New Jersey
721,13,2020-06-09,C6_Stay at home requirements,-1.0,New Jersey
722,14,2020-11-25,C6_Stay at home requirements,1.0,New Jersey
723,15,2020-03-16,C7_Restrictions on internal movement,1.0,New Jersey
724,16,2020-03-02,C8_International travel controls,3.0,New Jersey
725,17,2020-02-02,H1_Public information campaigns,1.0,New Jersey
726,18,2020-01-21,H2_Testing policy,1.0,New Jersey
727,19,2020-03-02,H2_Testing policy,-1.0,New Jersey
728,20,2020-03-19,H2_Testing policy,2.0,New Jersey
729,21,2020-01-21,H3_Contact tracing,1.0,New Jersey
730,22,2020-04-04,H6_Facial Coverings,1.0,New Jersey
731,23,2020-12-15,H7_Vaccination policy,1.0,New Jersey
732,0,2020-03-13,C1_School closing,1.0,New Mexico
733,1,2020-03-15,C1_School closing,2.0,New Mexico
734,2,2020-08-17,C1_School closing,-1.0,New Mexico
735,3,2020-03-12,C2_Workplace closing,1.0,New Mexico
736,4,2020-05-15,C2_Workplace closing,-1.0,New Mexico
737,5,2020-03-12,C3_Cancel public events,2.0,New Mexico
738,6,2020-03-12,C4_Restrictions on gatherings,2.0,New Mexico
739,7,2020-03-17,C5_Close public transport,2.0,New Mexico
740,8,2020-03-16,C6_Stay at home requirements,1.0,New Mexico
741,9,2020-03-16,C7_Restrictions on internal movement,1.0,New Mexico
742,10,2020-03-02,C8_International travel controls,3.0,New Mexico
743,11,2020-03-16,H1_Public information campaigns,2.0,New Mexico
744,12,2020-01-21,H2_Testing policy,1.0,New Mexico
745,13,2020-03-02,H2_Testing policy,-1.0,New Mexico
746,14,2020-01-21,H3_Contact tracing,1.0,New Mexico
747,15,2020-07-27,H3_Contact tracing,-1.0,New Mexico
748,16,2020-04-04,H6_Facial Coverings,1.0,New Mexico
749,17,2020-12-14,H7_Vaccination policy,1.0,New Mexico
750,0,2020-03-13,C1_School closing,1.0,Nevada
751,1,2020-07-01,C1_School closing,-1.0,Nevada
752,2,2020-03-12,C2_Workplace closing,1.0,Nevada
753,3,2020-04-28,C2_Workplace closing,-1.0,Nevada
754,4,2020-03-15,C3_Cancel public events,1.0,Nevada
755,5,2020-09-30,C3_Cancel public events,-1.0,Nevada
756,6,2020-03-24,C4_Restrictions on gatherings,4.0,Nevada
757,7,2020-05-29,C4_Restrictions on gatherings,-1.0,Nevada
758,8,2020-11-24,C4_Restrictions on gatherings,2.0,Nevada
759,9,2020-03-20,C6_Stay at home requirements,1.0,Nevada
760,10,2020-05-09,C6_Stay at home requirements,-1.0,Nevada
761,11,2020-03-16,C7_Restrictions on internal movement,1.0,Nevada
762,12,2020-03-02,C8_International travel controls,3.0,Nevada
763,13,2020-02-28,H1_Public information campaigns,1.0,Nevada
764,14,2020-01-21,H2_Testing policy,1.0,Nevada
765,15,2020-03-02,H2_Testing policy,-1.0,Nevada
766,16,2020-01-21,H3_Contact tracing,1.0,Nevada
767,17,2020-04-03,H6_Facial Coverings,1.0,Nevada
768,18,2020-12-15,H7_Vaccination policy,1.0,Nevada
769,0,2020-03-12,C1_School closing,2.0,New York
770,1,2020-03-23,C1_School closing,1.0,New York
771,2,2020-08-31,C1_School closing,-1.0,New York
772,3,2020-03-09,C2_Workplace closing,1.0,New York
773,4,2020-06-08,C2_Workplace closing,-1.0,New York
774,5,2020-03-12,C3_Cancel public events,2.0,New York
775,6,2020-07-20,C3_Cancel public events,-1.0,New York
776,7,2020-08-27,C3_Cancel public events,1.0,New York
777,8,2020-03-13,C4_Restrictions on gatherings,2.0,New York
778,9,2020-03-18,C4_Restrictions on gatherings,1.0,New York
779,10,2020-07-06,C4_Restrictions on gatherings,-1.0,New York
780,11,2020-03-09,C5_Close public transport,1.0,New York
781,12,2020-03-09,C6_Stay at home requirements,1.0,New York
782,13,2020-06-08,C6_Stay at home requirements,-1.0,New York
783,14,2020-03-16,C7_Restrictions on internal movement,1.0,New York
784,15,2020-01-17,C8_International travel controls,1.0,New York
785,16,2020-03-02,C8_International travel controls,2.0,New York
786,17,2020-01-31,H1_Public information campaigns,1.0,New York
787,18,2020-01-21,H2_Testing policy,1.0,New York
788,19,2020-01-21,H3_Contact tracing,1.0,New York
789,20,2020-12-12,H3_Contact tracing,-1.0,New York
790,21,2020-04-01,H6_Facial Coverings,1.0,New York
791,22,2020-04-17,H6_Facial Coverings,2.0,New York
792,23,2020-12-14,H7_Vaccination policy,2.0,New York
793,0,2020-03-10,C1_School closing,1.0,Ohio
794,1,2020-09-21,C1_School closing,-1.0,Ohio
795,2,2020-03-12,C2_Workplace closing,1.0,Ohio
796,3,2020-04-30,C2_Workplace closing,-1.0,Ohio
797,4,2020-03-05,C3_Cancel public events,2.0,Ohio
798,5,2020-03-10,C3_Cancel public events,-1.0,Ohio
799,6,2020-03-17,C3_Cancel public events,1.0,Ohio
800,7,2020-03-12,C4_Restrictions on gatherings,3.0,Ohio
801,8,2020-03-23,C4_Restrictions on gatherings,1.0,Ohio
802,9,2020-03-01,C5_Close public transport,1.0,Ohio
803,10,2020-05-01,C5_Close public transport,-1.0,Ohio
804,11,2020-03-23,C6_Stay at home requirements,2.0,Ohio
805,12,2020-05-20,C6_Stay at home requirements,-1.0,Ohio
806,13,2020-11-19,C6_Stay at home requirements,1.0,Ohio
807,14,2020-03-16,C7_Restrictions on internal movement,1.0,Ohio
808,15,2020-03-02,C8_International travel controls,3.0,Ohio
809,16,2020-01-23,H1_Public information campaigns,1.0,Ohio
810,17,2020-01-21,H2_Testing policy,1.0,Ohio
811,18,2020-01-21,H3_Contact tracing,1.0,Ohio
812,19,2020-04-04,H6_Facial Coverings,1.0,Ohio
813,20,2020-12-14,H7_Vaccination policy,1.0,Ohio
814,0,2020-03-13,C1_School closing,1.0,Oklahoma
815,1,2020-08-24,C1_School closing,-1.0,Oklahoma
816,2,2020-03-12,C2_Workplace closing,1.0,Oklahoma
817,3,2020-04-24,C2_Workplace closing,-1.0,Oklahoma
818,4,2020-03-15,C3_Cancel public events,1.0,Oklahoma
819,5,2020-05-15,C3_Cancel public events,-1.0,Oklahoma
820,6,2020-03-16,C4_Restrictions on gatherings,2.0,Oklahoma
821,7,2020-05-15,C4_Restrictions on gatherings,-1.0,Oklahoma
822,8,2020-07-02,C4_Restrictions on gatherings,-2.0,Oklahoma
823,9,2020-03-30,C5_Close public transport,1.0,Oklahoma
824,10,2020-06-07,C5_Close public transport,-1.0,Oklahoma
825,11,2020-03-24,C6_Stay at home requirements,2.0,Oklahoma
826,12,2020-05-01,C6_Stay at home requirements,-1.0,Oklahoma
827,13,2020-03-16,C7_Restrictions on internal movement,1.0,Oklahoma
828,14,2020-03-02,C8_International travel controls,3.0,Oklahoma
829,15,2020-01-24,H1_Public information campaigns,1.0,Oklahoma
830,16,2020-01-21,H2_Testing policy,1.0,Oklahoma
831,17,2020-03-02,H2_Testing policy,-1.0,Oklahoma
832,18,2020-01-21,H3_Contact tracing,1.0,Oklahoma
833,19,2020-04-04,H6_Facial Coverings,1.0,Oklahoma
834,20,2020-06-01,H6_Facial Coverings,-1.0,Oklahoma
835,21,2020-12-11,H7_Vaccination policy,2.0,Oklahoma
836,0,2020-03-13,C1_School closing,1.0,Oregon
837,1,2020-09-08,C1_School closing,-1.0,Oregon
838,2,2020-03-12,C2_Workplace closing,1.0,Oregon
839,3,2020-08-21,C2_Workplace closing,-1.0,Oregon
840,4,2020-03-15,C3_Cancel public events,1.0,Oregon
841,5,2020-03-16,C4_Restrictions on gatherings,3.0,Oregon
842,6,2020-03-27,C4_Restrictions on gatherings,1.0,Oregon
843,7,2020-06-05,C4_Restrictions on gatherings,-1.0,Oregon
844,8,2020-03-27,C6_Stay at home requirements,2.0,Oregon
845,9,2020-06-03,C6_Stay at home requirements,-1.0,Oregon
846,10,2020-07-31,C6_Stay at home requirements,1.0,Oregon
847,11,2020-03-16,C7_Restrictions on internal movement,1.0,Oregon
848,12,2020-05-05,C7_Restrictions on internal movement,-1.0,Oregon
849,13,2020-03-02,C8_International travel controls,3.0,Oregon
850,14,2020-02-28,H1_Public information campaigns,1.0,Oregon
851,15,2020-01-21,H2_Testing policy,1.0,Oregon
852,16,2020-03-02,H2_Testing policy,-1.0,Oregon
853,17,2020-01-21,H3_Contact tracing,1.0,Oregon
854,18,2020-11-24,H3_Contact tracing,-1.0,Oregon
855,19,2020-04-04,H6_Facial Coverings,1.0,Oregon
856,20,2020-12-16,H7_Vaccination policy,1.0,Oregon
857,0,2020-03-13,C1_School closing,2.0,Pennsylvania
858,1,2020-03-16,C1_School closing,1.0,Pennsylvania
859,2,2020-08-17,C1_School closing,-1.0,Pennsylvania
860,3,2020-03-12,C2_Workplace closing,1.0,Pennsylvania
861,4,2020-04-20,C2_Workplace closing,-1.0,Pennsylvania
862,5,2020-03-13,C3_Cancel public events,1.0,Pennsylvania
863,6,2020-10-09,C3_Cancel public events,-1.0,Pennsylvania
864,7,2020-03-23,C4_Restrictions on gatherings,4.0,Pennsylvania
865,8,2020-06-05,C4_Restrictions on gatherings,-1.0,Pennsylvania
866,9,2020-07-16,C4_Restrictions on gatherings,1.0,Pennsylvania
867,10,2020-03-23,C5_Close public transport,1.0,Pennsylvania
868,11,2020-05-17,C5_Close public transport,-1.0,Pennsylvania
869,12,2020-03-13,C6_Stay at home requirements,1.0,Pennsylvania
870,13,2020-06-05,C6_Stay at home requirements,-1.0,Pennsylvania
871,14,2020-03-13,C7_Restrictions on internal movement,1.0,Pennsylvania
872,15,2020-03-02,C8_International travel controls,3.0,Pennsylvania
873,16,2020-02-03,H1_Public information campaigns,1.0,Pennsylvania
874,17,2020-01-21,H2_Testing policy,1.0,Pennsylvania
875,18,2020-01-21,H3_Contact tracing,1.0,Pennsylvania
876,19,2020-04-03,H6_Facial Coverings,1.0,Pennsylvania
